title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
"Happy Life","Roland Faunte","333eJWCVb1L7uYVu65sZx3",0.684,0.339,7,-6.955,0,0.039,0.842,0,0.0652,0.357,108.872,269573,3
"Sophie","The Altogether","35z474FlwP73zQkK4KtsYv",0.645,0.345,10,-10.861,1,0.0276,0.769,0.0047,0.101,0.296,89.438,247420,4
"Jolene","Great Caesar","1mU23ou8PuCp46tDY1v7IE",0.593,0.457,2,-6.765,1,0.029,0.43,0.0000043,0.109,0.379,131.956,252240,4
"Magnolia","The Essentialists","78lFgN1JjH5bUfIbNgJ5O1",0.686,0.455,9,-8.335,1,0.0321,0.64,0.00197,0.0711,0.559,118.071,302034,4
"Presumably Dead Arm (617 Sessions)","Sidney Gish","7iFmqWr2KDvNJt9ZCm7V21",0.476,0.265,10,-9.462,1,0.0376,0.829,0,0.155,0.289,114.478,214100,4
"Rubble To Rubble","Wilderado","3o5K1YmFz9i9KluRGJusd1",0.559,0.454,9,-8.377,0,0.0377,0.376,0.00000488,0.258,0.284,134.941,204000,4
"Temporary","Your Neighbors","63elbs0ojWzKKutgg7xx5z",0.539,0.26,2,-8.432,1,0.0742,0.904,0,0.367,0.597,170.108,239647,4
"Raspberry Seeds","Petite League","4SwFE2JiaQvz3r477sItUW",0.605,0.428,9,-7.153,1,0.0351,0.855,0.0000115,0.112,0.332,84.253,187500,4
"Neighbor","Los Elk","2LPYZe3h5DcSoi8Pr67E4m",0.681,0.593,4,-8.668,1,0.0308,0.0591,0.0000074,0.114,0.617,139.867,257973,4
"Salt Lake City","Motherfolk","0N8Q3j9oBGUDNckTtQSrJX",0.638,0.374,7,-10.007,1,0.0256,0.556,0.0000175,0.107,0.0832,107.932,231975,4
"Side A","Alohaha","6roE1E2XFB06znL6Wvvv2q",0.343,0.409,11,-10.303,0,0.0395,0.096,0.0134,0.13,0.116,97.056,928229,4
"Clean Me Up","Thomas Headon","6zUw4QJytKkTBhwbRC6OiM",0.631,0.402,0,-10.054,1,0.124,0.519,0,0.0686,0.534,91.945,165000,4
"On Your Mind","Noah Floersch","4RPSs5aQymn0A5syaHE7VI",0.747,0.645,8,-8.379,1,0.0966,0.583,0.0000084,0.0935,0.68,124.946,159600,3
"2 / 14","The Band CAMINO","2QwpEi3eNToZCCMMRcOj0u",0.607,0.709,9,-7.428,1,0.0538,0.372,0,0.294,0.551,97.006,163690,4
